id,source,link,mydate,category,listname
73,"Crazy Monk","http://crazymonk.org/archives/2005_12_03/207","12/04/05 00:00:00","Music"," Top 20 Albums"
74,"Q Magazine","http://www.thisislondon.co.uk/music/articles/21067515","12/04/05 00:00:00","Music","Top Records Of 2005"
75,"ABC.net.au","http://www.abc.net.au/triplej/2005/best_albums.htm","12/05/05 00:00:00","Music","Best Albums Of The Year"
76,"Tech Digest","http://www.techdigest.tv/2005/12/shuffle_takes_c.html","12/05/05 00:00:00","Gadgets","Gadgets Of The Year"
77,"Movie Mistakes","http://www.moviemistakes.com/best2005","12/05/05 00:00:00","Film","Best Movie Mistakes"
78,"I Heart Music","http://iheartmusic.net/serendipity/index.php?/archives/95-The-33-hottest-bands-in-Canada.html","12/05/05 00:00:00","Music","33 Hottest Bands In Canada"
79,"TBS.com","http://www.tbs.com/broadband/videoplayer/0,,64842,00.html","12/05/05 00:00:00","Advertising","Funniest Commercials"
80,"Goodiebag.TV","http://www.goodiebag.tv/2005/12/ten-best-funny-videos-of-2005_06.htm","12/06/05 00:00:00","Online","Best Funny Videos"
81,"DoneWaiting.com","http://www.donewaiting.com/2005/","12/06/05 00:00:00","Music","20 Favorite Albums"
82,"New Oxford American Dictionary","http://biz.yahoo.com/prnews/051205/nym208.html","12/06/05 00:00:00","Words","Word Of The Year"
83,"Weblog Awards","http://weblogawards.org/","12/06/05 00:00:00","Online","Weblog Awards"
84,"The Morning News","http://www.themorningnews.org/archives/guides/the_2005_good_gift_games.php","12/06/05 00:00:00","Games","Games Of The Year"
85,"Global Language Monitor","http://www.languagemonitor.com/wst_page15.html","12/06/05 00:00:00","Film","Top HollyWORDS Of The Year"
86,"Global Language Monitor","http://www.languagemonitor.com/wst_page12.html","12/06/05 00:00:00","Words","Hot Political Buzzwords"
87,"Global Language Monitor","http://www.languagemonitor.com/wst_page14.html","12/06/05 00:00:00","Online","Top 10 Most Confusing (Yet Widely Used) High Tech Buzzwords"
88,"Global Language Monitor","http://www.languagemonitor.com/wst_page11.html","12/06/05 00:00:00","TV","Top Television Buzzword"
89,"New York Sun","http://www.nysun.com/article/24002","12/07/05 00:00:00","Music","Best Of Year"
90,"BevNET.com","http://www.bevnet.com/news/bestof2005/","12/07/05 00:00:00","Food","Best Beverages"
91,"GI Jobs","http://gijobs.net/documents/GIJobsDec.05.Top25.pdf","12/07/05 00:00:00","Business","Top 25 Military-Friendly Companies"
92,"Art Forum","http://artforum.com/inprint/id=9858","12/07/05 00:00:00","Film","Best Film Of 2005"
93,"Art Forum","http://artforum.com/inprint/id=9859","12/07/05 00:00:00","Music","Best Music Of 2005"
94,"Art Forum","http://artforum.com/inprint/id=9852","12/07/05 00:00:00","Art","Best Art Of 2005"
95,"U.S. Census Bureau","http://geography.about.com/cs/worldpopulation/a/mostpopulous.htm","12/07/05 00:00:00","Miscellaneous","Countries With Largest Population"
96,"The Scientist","http://www.the-scientist.com/2005/12/5/14/1","12/07/05 00:00:00","Science","Biggest Stories In Bioscience"
97,"Driver2165","http://www.driver2165.com/driver2165/arch/000598.html","12/07/05 00:00:00","Music","Top 65"
98,"Kiplinger's","http://www.kiplinger.com/personalfinance/features/archives/2005/11/winners.html","12/07/05 00:00:00","Automobiles","Best Cars"
99,"Said The Gramophone","http://www.saidthegramophone.com/archives/2005s_best_music.php","12/07/05 00:00:00","Music","My 22 Favourite Songs"
100,"Filter (Nick Harmer of Death Cab For Cutie)","http://www.filter-mag.com/news/interior.2809.html","12/07/05 00:00:00","Music","Top 10"
101,"Filter (The Crystal Method)","http://www.filter-mag.com/news/interior.2808.html","12/07/05 00:00:00","Music","Top 10"
102,"The Daily Evergreen","http://www.dailyevergreen.com/disp_story.php?storyId=15702","12/07/05 00:00:00","Music","Top 10"
103,"Film Threat","http://filmthreat.com/index.php?section=features&Id=1643","12/08/05 00:00:00","Film","The Frigid 50: The Coldest People In Hollywood"
104,"The Onion A/V Club","http://avclub.com/content/node/43265","12/08/05 00:00:00","Toys","Cheap Toy Roundup"
105,"The Onion A/V Club","http://avclub.com/content/node/24901/1/1","12/08/05 00:00:00","Advertising","The Year In Swag"
106,"Leite's Culinaria","http://www.leitesculinaria.com/features/best/best_2005.html","12/08/05 00:00:00","Food","20 Best Food Books"
107,"Filter (Darren Seltmann of the Avalanches)","http://www.filter-mag.com/news/interior.2795.html","12/08/05 00:00:00","Music","Top 10"
108,"Filter (Guillermo Scott Herren of Prefuse 73)","http://www.filter-mag.com/news/interior.2798.html","12/08/05 00:00:00","Music","Top 10"
109,"Lake Superior State University","http://www.lssu.edu/banished/current.php","12/08/05 00:00:00","Words","Banished Words"
110,"Metacritic","http://www.metacritic.com/games/bests/2005.shtml","12/08/05 00:00:00","Games","Best Of 2005"
111,"About.com","http://classicrock.about.com/od/recommendationsandreviews/tp/top10_05dvd.htm","12/08/05 00:00:00","DVD","Top 10 Classic Rock DVDs"
112,"About.com","http://classicrock.about.com/od/recommendationsandreviews/tp/top_boxed.htm","12/08/05 00:00:00","Music","Top 10 Classic Rock Box Sets"
113,"Rough Trade","http://www.roughtrade.com/site/chart_detail.lasso?chart_id=2005","12/08/05 00:00:00","Music","Top 100"
114,"East Bay Express","http://www.eastbayexpress.com/Issues/2005-11-23/music/music2.html","12/08/05 00:00:00","Music","Best Records"
115,"Product Shop NYC","http://kollegedaily.typepad.com/product_shop_nyc/2005/12/product_shop_ny_1.html","12/08/05 00:00:00","Music","57 Best Albums"
116,"Ottakar's","http://www.ottakars.co.uk/Internet/yossarian/default.jsp","12/08/05 00:00:00","Books","Book Of The Year Awards"
117,"Tuft's Daily","http://www.tuftsdaily.com/vnews/display.v/ART/2005/12/08/4397d2ecf0429","12/09/05 00:00:00","Music","Staff Top Ten"
118,"Fast Company","http://www.fastcompany.com/slideshow/slideviewer.cgi?list=giftguide2005&refresh=8?partner=rss","12/09/05 00:00:00","Gadgets","2005 Gift Guide"
119,"Dogster / Catster","http://www.dogster.com/show/winners.php","12/09/05 00:00:00","Miscellaneous","Best Cast & Dogs"
120,"Marketing Sherpa","http://www.marketingsherpa.com/sample.cfm?contentID=2968","12/10/05 00:00:00","Advertising","10 Best Blogs"
121,"Mortgage 101","http://www.mortgage101.com/partner-scripts/inman.asp?ID=49129","12/10/05 00:00:00","Business","10 Best Real Estate Books"
122,"Seattle Times","http://seattletimes.nwsource.com/html/artsentertainment/2002672751_bestbooks2005.html","12/10/05 00:00:00","Books","Top 10 Books"
123,"Top Gear","http://www.topgear.com/content/timetoburn/sections/galleries/other/awards05/01/","12/10/05 00:00:00","Automobiles","Cars Of The Year"
124,"Working Mother","http://www.workingmother.com/abbott.html","12/10/05 00:00:00","Business","100 Best Companies"
125,"Stylus","http://www.stylusmagazine.com/feature.php?ID=2014","12/10/05 00:00:00","Music","Top 50 Singles"
126,"Newsweek","http://www.msnbc.msn.com/id/10414362/site/newsweek/","12/11/05 00:00:00","Film","The Best And The Rest"
127,"New York Times Magazine","http://www.nytimes.com/indexes/2005/12/11/magazine/index.html","12/11/05 00:00:00","Ideas","The Year In Ideas"
128,"About.com","http://contemporarylit.about.com/od/readinglists/tp/2005lit.htm","12/11/05 00:00:00","Books","Top 10 Literary Works"
129,"CD Times","http://www.cdtimes.co.uk/content.php?contentid=2331","12/11/05 00:00:00","Music","Ten Favourite Pop Moments"
130,"Webcomics Review","http://webcomicsreview.com/examiner/issue051212/best2005.html","12/11/05 00:00:00","Comics","Best Webcomics Of 2005"
131,"About.com","http://altmusic.about.com/od/peterspickslists/tp/2005boxes.htm","12/11/05 00:00:00","Music","Top 10 Box Sets"
132,"Playlist","http://playlistmag.com/features/2005/12/playsoftheyear05/index.php","12/11/05 00:00:00","Gadgets","Best iPod-Related Products"
133,"Daily Telegraph","http://telegraph.co.uk/arts/main.jhtml?xml=/arts/2005/12/04/boFICTION.xml&DCMP=EMC-art_09122005","12/11/05 00:00:00","Books","Best Fiction"
134,"Glide","http://www.glidemagazine.com/articles216.html","12/11/05 00:00:00","Music","Top Albums"
135,"Business Week","http://www.businessweek.com/technology/bestof/editorpicks.htm","12/11/05 00:00:00","Online","Best Of The New Web"
136,"CNN.com","http://www.cnn.com/2005/SHOWBIZ/12/06/eye.ent.best.2005/","12/11/05 00:00:00","Books","Not The Best Of The Year"
137,"IFCTV.com","http://www.ifctv.com/ifc/insiderNews?CAT0=5827&NID=15547&CLR=black&BCLR=000000","12/12/05 00:00:00","Film","Our Top Tens"
138,"Time","http://www.time.com/time/yip/2005/index.html ","12/12/05 00:00:00","Photos","Best Photos Of The Year"
139,"Spastic Robot","http://spasticrobot.typepad.com/spasticrobot/2005/12/best_of_2005_th.html","12/12/05 00:00:00","Online","Best Of The Web"
140,"Newsknife","http://www.newsknife.com/features/top_rating_news_sites_2005.html","12/12/05 00:00:00","Online","Top News Sites (According To Google News)"
141,"The Chicago Athenaeum","http://www.chi-athenaeum.org/archawards/2005/index.html","12/12/05 00:00:00","Architecture","American Architecture Awards"
142,"AR+D","http://www.arplusd.com/winners2005.htm","12/12/05 00:00:00","Architecture","AR Awards"
143,"Gridskipper","http://www.gridskipper.com/travel/gridskipper/the-urbs-2005-urban-blogging-awards-voting-begins-141053.php","12/12/05 00:00:00","Architecture","Urban Blogging Awards"
144,"Entertainment Weekly -- Stephen King","http://www.ew.com/ew/article/commentary/0,6115,1138886_1||472578_0_,00.html","12/12/05 00:00:00","Film","Best Movies"
145,"American Film Institute","http://www.afi.com/tvevents/afiawards05/default.aspx","12/12/05 00:00:00","Film","AFI Awards"
146,"New York Film Critics","http://www.nyfcc.com/2005awards.php","12/12/05 00:00:00","Film","2005 Awards"
147,"New York Magazine","http://newyorkmetro.com/nymetro/arts/cultureawards/15297/","12/12/05 00:00:00","Film","Best Movies"
148,"Firecracker","http://www.firecracker-media.com/moxie/current/feature1301.shtml","12/12/05 00:00:00","Film","Best Of 2005"
149,"Los Angeles Film Critics Association","http://www.lafca.net/Home/News/2005_lafca_awards_winners.html","12/12/05 00:00:00","Film","2005 Award Winners"
150,"Boston Film Critics","http://www.moviecitynews.com/awards/2006/cirtics_awards/boston.html","12/12/05 00:00:00","Film","2005 Award Winners"
151,"New York Film Critics Online","http://www.moviecitynews.com/awards/2006/cirtics_awards/nyofc.html","12/12/05 00:00:00","Film","NYFCO Awards"
152,"Newsweek","http://www.msnbc.msn.com/id/10414362/site/newsweek/","12/12/05 00:00:00","Film","Best And Rest Of The Year"
153,"Broadcast Film Critics Association","http://www.bfca.org/nomineesWinners.asp","12/12/05 00:00:00","Film","BFCA Awards"
154,"Chicago Public Radio (Jim DeRogatis)","http://www.soundopinions.net/lists/bestof2005_jim.html","12/12/05 00:00:00","Music","Best Of 2005"
155,"Chicago Public Radio (Greg Kot)","http://www.soundopinions.net/lists/bestof2005_greg.html","12/12/05 00:00:00","Music","Best Of 2005"
156,"The Economist","http://economist.com/books/displaystory.cfm?story_id=5278132","12/12/05 00:00:00","Books","Books Of The Year"
157,"Washingoton Post (Jonathan Yardley)","http://www.washingtonpost.com/wp-dyn/content/article/2005/12/01/AR2005120100910.html","12/12/05 00:00:00","Books","Books Of The Year"
158,"Chicago Tribune","http://www.chicagotribune.com/entertainment/music/chi-0512110257dec11,1,2736399.story","12/12/05 00:00:00","Music","Albums Of The Year"
159,"Antville.org","http://videos.antville.org/stories/1282319/","12/13/05 00:00:00","Musicvideos","Worst Videos"
160,"Antville.org","http://videos.antville.org/stories/1282317/","12/13/05 00:00:00","Musicvideos","Best Videos"
161,"Fineman PR","http://www.bulldogreporter.com/dailydog/issues/1_1/dailydog_pr_biz_update/2675-1.html","12/13/05 00:00:00","Advertising","Ten Worst PR Blunders"
162,"Business Week","http://images.businessweek.com/ss/05/12/bestideas/source/1.htm","12/13/05 00:00:00","Ideas","Best Ideas Of 2005"
163,"The Minor Fall, The Major Lift","http://www.popfactor.com/tmftml/archives/002271.html","12/13/05 00:00:00","Music","Music Of Note"
164,"Business Week","http://images.businessweek.com/ss/05/12/bestproducts/source/1.htm","12/13/05 00:00:00","Gadgets","Best Products"
165,"Business Week","http://images.businessweek.com/ss/05/12/bestleaders/source/1.htm","12/13/05 00:00:00","People","Best Leaders"
166,"Regret The Error","http://www.regrettheerror.com/2005/12/2005_plagiarism.html","12/13/05 00:00:00","Words","Plagiarism Round-Up"
167,"Chromewaves.net","http://chromewaves.net/index.php?itemid=2047","12/13/05 00:00:00","Music","This Year"
168,"Mercury News","http://www.mercurynews.com/mld/mercurynews/entertainment/books/13390783.htm","12/13/05 00:00:00","Books","Top Fiction Books"
169,"Marathon Packs","http://www.marathonpacks.com/2005/12/top-20-videos-2005.html","12/13/05 00:00:00","Musicvideos","Top 20 Videos"
170,"Movie City News","http://www.moviecitynews.com/awards/2006/scoreboard_critics.html","12/13/05 00:00:00","Film","The Awards Scoreboard"
171,"San Francisco Film Critics Circle","http://www.sffcc.org/","12/13/05 00:00:00","Film","SFFCC Awards"
172,"Slant Magazine","http://www.slantmagazine.com/film/features/2005yearinfilm.asp","12/13/05 00:00:00","Film","Year In Film"
173,"Time","http://www.time.com/time/archive/preview/0,10987,1134746,00.html","12/13/05 00:00:00","Health","Year In Medicine"
174,"Time","http://www.time.com/time/magazine/article/0,9171,1139833,00.html","12/13/05 00:00:00","Books","Seven Great Books You May Have Missed"
175,"The Splended Table","http://splendidtable.publicradio.org/books/books_lynne_2005picks.html","12/13/05 00:00:00","Food","Best Food Books"
176,"City Pages","http://www.citypages.com/databank/26/1306/article13962.asp","12/13/05 00:00:00","Music","2005's Best Recorded Music"
177,"Business Week","http://www.businessweek.com/ap/financialnews/D8EFI9084.htm","12/13/05 00:00:00","Business","Winners And Losers"
178,"Merrian-Webster","http://www.m-w.com/info/05words.htm","12/13/05 00:00:00","Words","Words Of The Year"
179,"PC Mag","http://www.pcmag.com/article2/0,1895,1891472,00.asp","12/13/05 00:00:00","Gadgets","10 Worst Products"
180,"PC Mag","http://www.pcmag.com/article2/0,1895,1892316,00.asp","12/13/05 00:00:00","Gadgets","Products Of The Year"
181,"Village Voice","http://www.villagevoice.com/books/0550,press,70946,10.html","12/14/05 00:00:00","Books","25 Favorite Books"
182,"The Year In Weird","http://www.theyearinweird.com/celebs.html","12/14/05 00:00:00","People","Weirdest Celebrities"
183,"Kirkus Review","http://www.kirkusreviews.com/kirkusreviews/images/pdf/KirkusBestof051205.pdf","12/14/05 00:00:00","Books","25 Best"
184,"Kirkus Review","http://www.kirkusreviews.com/kirkusreviews/images/pdf/kr_childrens_best_1205.pdf","12/14/05 00:00:00","Books","Best Children's Books"
185,"C|Net","http://www.cnet.com/4520-11524_1-6400653.html","12/14/05 00:00:00","Gadgets","Top 10 Products"
186,"The Onion A/V Club","http://avclub.com/content/node/43475","12/14/05 00:00:00","Music","The Year In Music"
187,"Other Music","http://www.othermusic.com/2005december13update.html","12/14/05 00:00:00","Music","Year-End Recap"
188,"Esoteric Rabbit","http://www.esotericrabbit.com/blog/?p=257","12/14/05 00:00:00","Film","The Year In Review"
189,"Sight & Sound","http://www.bfi.org.uk/sightandsound/feature/49257","12/14/05 00:00:00","Film","Films Of The Year"
190,"Slate.com","http://www.slate.com/id/2132348/","12/15/05 00:00:00","Books","The Year In Books"
191,"Blogcritics","http://blogcritics.org/archives/2005/12/10/023315.php","12/15/05 00:00:00","Books","Best Books"
192,"Rocky Mountain News","http://www.rockymountainnews.com/drmn/books/article/0,2792,DRMN_63_4284129,00.html","12/15/05 00:00:00","Books","Favorite Books"
193,"Yahoo","http://picks.yahoo.com/picks/most/2005/","12/15/05 00:00:00","Online","Picks Of The Year"
194,"C|Net","http://www.cnet.com/4520-6022_1-102337-1.html","12/15/05 00:00:00","Gadgets","Top 100 Products"
195,"AOL","http://hot.aol.com/2005/index.html","12/15/05 00:00:00","Words","Top Searches"
196,"BET","http://www.bet.com/News/2005_Personoftheyear.htm","12/15/05 00:00:00","People","Person Of The Year"
197,"E!","http://www.eonline.com/Features/Features/Replay2005/Undressed/undressed01.html","12/15/05 00:00:00","People","Best Undressed"
198,"E!","http://www.eonline.com/Features/Features/Replay2005/Moments/index.html","12/15/05 00:00:00","People","Top 20 Moments"
199,"E!","http://www.eonline.com/Features/Features/Replay2005/Music/index.html","12/15/05 00:00:00","Music","Top 20 CDs"
200,"WSJ2.com","http://web2.wsj2.com/the_best_web_20_software_of_2005.htm","12/15/05 00:00:00","Online","Best Web 2.0 Software"
201,"Hollywood Elsewhere","http://hollywood-elsewhere.com/archives/2005/12/best_and_worst.php","12/16/05 00:00:00","Film","Best And Worst"
202,"Shanghaiist","http://www.shanghaiist.com/archives/2005/12/16/best_albums_of_2005.php","12/16/05 00:00:00","Music","Best Albums of 2005"
203,"Pitchfork","http://www.pitchforkmedia.com/features/comments/12-16-05/","12/16/05 00:00:00","Music","Artists' Best of 2005"
204,"Pitchfork","http://www.pitchforkmedia.com/features/comments/12-12-05/","12/16/05 00:00:00","Music","Top Live Shows And Music Videos"
205,"Pitchfork","http://www.pitchforkmedia.com/features/comments/12-15-05/","12/16/05 00:00:00","Music","15 Worst Releases Of 2005"
206,"Marketwatch.com","http://www.marketwatch.com/news/story.asp?guid=%7B20A4C3E7%2D48E1%2D4B23%2DB28F%2DB34C3369E2D9%7D&siteid=mktw&dist=","12/16/05 00:00:00","Media","Media Web's 2005 Awards"
207,"Utter Wonder","http://www.utterwonder.com/archives/2005/12/best_of_c_my_to_1.php","12/16/05 00:00:00","Miscellaneous","Top 10 Kitchen Utensils Of This Year"
208,"The Observer","http://sport.guardian.co.uk/news/story/0,10488,1669899,00.html","12/18/05 00:00:00","Sports","Sport's Best Moments"
209,"Mercury News","http://www.mercurynews.com/mld/mercurynews/entertainment/music/13417677.htm","12/18/05 00:00:00","Music","Best CDs Of The Year"
210,"New York Times","http://www.nytimes.com/ref/books/blogged-books.html","12/18/05 00:00:00","Online","Most Blogged-About Books"
211,"Time","http://www.time.com/time/personoftheyear/2005/walkup/","12/18/05 00:00:00","People","Person Of The Year"
212,"The Independent","http://enjoyment.independent.co.uk/books/features/article333609.ece","12/18/05 00:00:00","Books","Books Of The Year"
213,"Chicago Tribune","http://www.chicagotribune.com/entertainment/chi-0512160266dec16,1,2282118.story","12/18/05 00:00:00","Music","Chicago's Top 10"
214,"More Cowbell","http://www.morecowbell.net/2005-12-16/2005-albums","12/18/05 00:00:00","Music","Favorite Albums Of 2005"
215,"Dose","http://www.dose.ca/toronto/music/story.html?s_id=R9uu6Qdf6gpL2PGBXM9bUwgLbyPKs1HVW%2BScCPut5FzS5RbspDQSkA%3D%3D","12/18/05 00:00:00","Music","Best/Worst Of '05"
216,"InSound","http://www.insound.com/holiday_top100.php","12/18/05 00:00:00","Music","Top 100 CDs"
217,"Crap Filter","http://crapfilter.net/2005/12/08/someone_sign_these_guys/","12/18/05 00:00:00","Music","Top 10 Unsigned Bands/Artists"
218,"Roger Ebert","http://rogerebert.suntimes.com/apps/pbcs.dll/article?AID=/20051218/COMMENTARY/512180302","12/18/05 00:00:00","Film","Best 10 Movies Of 2005"
219,"The Observer","http://observer.guardian.co.uk/review/story/0,6903,1669789,00.html","12/18/05 00:00:00","Film","10 movies I Most Enjoyed"
220,"The Guardian","http://www.guardian.co.uk/arts/features/story/0,11710,1669274,00.html","12/18/05 00:00:00","DVD","Year's Best Music DVDs"
221,"Time","http://www.time.com/time/personoftheyear/2005/people/","12/18/05 00:00:00","People","People Who Mattered"
222,"Time","http://www.time.com/time/personoftheyear/2005/milestones/","12/18/05 00:00:00","People","A Fond Farewell"
223,"People","http://people.aol.com/people/galleries/0,19884,1140346,00.html","12/18/05 00:00:00","People","Biggest Romances"
224,"Entertainment Weekly -- Stephen King","http://www.ew.com/ew/article/commentary/0,6115,1141302_5_0_,00.html","12/18/05 00:00:00","Books","10 Favorite Books"
225,"News & Observer","http://www.newsobserver.com/105/story/372006.html","12/18/05 00:00:00","Books","Raleigh Best Books"
226,"Kansas City Star","http://www.kansascity.com/mld/kansascity/entertainment/13304816.htm","12/18/05 00:00:00","Books","100 Noteworthy Books"
227,"St. Louis Post-Dispatch","http://www.stltoday.com/stltoday/entertainment/stories.nsf/books/story/1A66E93D7F242A3D862570CB007643AE?OpenDocument","12/18/05 00:00:00","Books","Best Science Fiction, Fantasy And Horror"
228,"San Francisco Chronicle","http://sfgate.com/cgi-bin/article.cgi?file=/gate/archive/2005/12/15/derk.DTL","12/18/05 00:00:00","Music","Best Music Of 2005"
229,"New York Times","http://www.nytimes.com/2005/12/16/arts/music/16albu.html","12/18/05 00:00:00","Music","Most Notable Classical CDs"
230,"IndieWire","http://www.indiewire.com/biz/2005/12/looking_back_at.html","12/18/05 00:00:00","Film","Looking Back At '05"
231,"Boston Globe","http://www.boston.com/ae/music/packages/top_cds/","12/18/05 00:00:00","Music","Top CDs Of 2005"
232,"Forbes","http://www.forbes.com/vehicles/2005/12/16/best-cars-luxury-cx_dl_1219feat_ls.html","12/19/05 00:00:00","Automobiles","The Best Cars Of 2005"
233,"Yahoo","http://tools.search.yahoo.com/top2005/","12/19/05 00:00:00","Words","Top Searches"
234,"Loren Coleman","http://www.cryptomundo.com/cryptozoo-news/top-cz-books-2005/","12/19/05 00:00:00","Paranormal","Top Cryptozoology Books"
235,"Info World","http://www.infoworld.com/article/05/12/19/51NNyearinreview_1.html","12/19/05 00:00:00","Online","Top 10 Moments In IT"
236,"Forbes","http://www.forbes.com/feeds/2005/12/14/worst-cars-2005-cx_dl_1215feat_ls.html","12/19/05 00:00:00","Automobiles","The Worst Cars Of 2005"
237,"Poynter.org","http://www.poynter.org/column.asp?id=32&aid=93779","12/19/05 00:00:00","Online","Favorite Web Tips"
238,"iVillage","http://dailyblabber.ivillage.com/entertainment/archives/2005/12/year-in-review.html","12/19/05 00:00:00","People","The Year In Celebrity Babies"
239,"Chemical & Engineering News","http://pubs.acs.org/cen/coverstory/83/8351industryreview.html","12/19/05 00:00:00","Science","Year In Review"
241,"ESPN.com","http://sports.espn.go.com/espn/page2/story?page=merron/051219","12/19/05 00:00:00","Sex","The Year In Sex & Sports"
